"SUT","BaselineVariant","ComparedVariant","Rule","Message","Fingerprint","C0Count","CXCount","DeltaCount","Classification","ResultPath"
"SnapshotComparer","C0","C2","java:S1128","Remove this unnecessary import: same package classes are always implicitly imported.","java:S1128|remove this unnecessary import: same package classes are always implicitly imported.","0","3","3","NEW","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S1192","Use already-defined constant 'RIGHT_OPTION' instead of duplicating its value here.","java:S1192|use already-defined constant 'right_option' instead of duplicating its value here.","0","1","1","NEW","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S135","Reduce the total number of break and continue statements in this loop to use at most one.","java:S135|reduce the total number of break and continue statements in this loop to use at most one.","0","1","1","NEW","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S1075","Remove this hard-coded path-delimiter.","java:S1075|remove this hard-coded path-delimiter.","1","1","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S112","Define and throw a dedicated exception instead of using a generic one.","java:S112|define and throw a dedicated exception instead of using a generic one.","1","1","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S1192","Define a constant instead of duplicating this literal ""Analysis for depth %d"" 3 times.","java:S1192|define a constant instead of duplicating this literal ""analysis for depth %d"" <n> times.","1","1","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S2293","Replace the type specification in this constructor call with the diamond operator (""<>"").","java:S2293|replace the type specification in this constructor call with the diamond operator (""<>"").","2","2","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S3398","Move this method into ""TreeInfo"".","java:S3398|move this method into ""treeinfo"".","1","1","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S100","Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","java:S100|rename this method name to match the regular expression '^[a-z][a-za-z<n>-<n>]*$'.","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S1110","Remove these useless parentheses.","java:S1110|remove these useless parentheses.","2","0","-2","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S1117","Rename ""root"" which hides the field declared at line 209.","java:S1117|rename ""root"" which hides the field declared at line <n>.","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S1117","Rename ""size"" which hides the field declared at line 147.","java:S1117|rename ""size"" which hides the field declared at line <n>.","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S115","Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.","java:S115|rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","6","0","-6","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S2259","""NullPointerException"" will be thrown when invoking method ""printRightOnly()"".","java:S2259|""nullpointerexception"" will be thrown when invoking method ""printrightonly()"".","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C2","java:S3776","Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.","java:S3776|refactor this method to reduce its cognitive complexity from <n> to the <n> allowed.","2","0","-2","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c2\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S106","Replace this use of System.out or System.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","28","22","-6","COUNT_CHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S107","Method has 8 parameters, which is greater than 7 authorized.","java:S107|method has <n> parameters, which is greater than <n> authorized.","0","1","1","NEW","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S1128","Remove this unnecessary import: same package classes are always implicitly imported.","java:S1128|remove this unnecessary import: same package classes are always implicitly imported.","0","3","3","NEW","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S1192","Use already-defined constant 'RIGHT_OPTION' instead of duplicating its value here.","java:S1192|use already-defined constant 'right_option' instead of duplicating its value here.","0","1","1","NEW","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S1075","Remove this hard-coded path-delimiter.","java:S1075|remove this hard-coded path-delimiter.","1","1","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S112","Define and throw a dedicated exception instead of using a generic one.","java:S112|define and throw a dedicated exception instead of using a generic one.","1","1","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S2293","Replace the type specification in this constructor call with the diamond operator (""<>"").","java:S2293|replace the type specification in this constructor call with the diamond operator (""<>"").","2","2","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S3398","Move this method into ""TreeInfo"".","java:S3398|move this method into ""treeinfo"".","1","1","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S100","Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","java:S100|rename this method name to match the regular expression '^[a-z][a-za-z<n>-<n>]*$'.","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S1110","Remove these useless parentheses.","java:S1110|remove these useless parentheses.","2","0","-2","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S1117","Rename ""root"" which hides the field declared at line 209.","java:S1117|rename ""root"" which hides the field declared at line <n>.","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S1117","Rename ""size"" which hides the field declared at line 147.","java:S1117|rename ""size"" which hides the field declared at line <n>.","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S115","Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.","java:S115|rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","6","0","-6","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S1192","Define a constant instead of duplicating this literal ""Analysis for depth %d"" 3 times.","java:S1192|define a constant instead of duplicating this literal ""analysis for depth %d"" <n> times.","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S2259","""NullPointerException"" will be thrown when invoking method ""printRightOnly()"".","java:S2259|""nullpointerexception"" will be thrown when invoking method ""printrightonly()"".","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C3","java:S3776","Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.","java:S3776|refactor this method to reduce its cognitive complexity from <n> to the <n> allowed.","2","0","-2","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c3\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S106","Replace this use of System.out or System.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","28","26","-2","COUNT_CHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S2293","Replace the type specification in this constructor call with the diamond operator (""<>"").","java:S2293|replace the type specification in this constructor call with the diamond operator (""<>"").","2","4","2","COUNT_CHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S107","Method has 8 parameters, which is greater than 7 authorized.","java:S107|method has <n> parameters, which is greater than <n> authorized.","0","1","1","NEW","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S1128","Remove this unnecessary import: same package classes are always implicitly imported.","java:S1128|remove this unnecessary import: same package classes are always implicitly imported.","0","3","3","NEW","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S1192","Use already-defined constant 'RIGHT_OPTION' instead of duplicating its value here.","java:S1192|use already-defined constant 'right_option' instead of duplicating its value here.","0","1","1","NEW","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S2445","""dataNode"" is a method parameter, and should not be used for synchronization.","java:S2445|""datanode"" is a method parameter, and should not be used for synchronization.","0","1","1","NEW","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S1075","Remove this hard-coded path-delimiter.","java:S1075|remove this hard-coded path-delimiter.","1","1","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S112","Define and throw a dedicated exception instead of using a generic one.","java:S112|define and throw a dedicated exception instead of using a generic one.","1","1","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S1192","Define a constant instead of duplicating this literal ""Analysis for depth %d"" 3 times.","java:S1192|define a constant instead of duplicating this literal ""analysis for depth %d"" <n> times.","1","1","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S3398","Move this method into ""TreeInfo"".","java:S3398|move this method into ""treeinfo"".","1","1","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S100","Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","java:S100|rename this method name to match the regular expression '^[a-z][a-za-z<n>-<n>]*$'.","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S1110","Remove these useless parentheses.","java:S1110|remove these useless parentheses.","2","0","-2","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S1117","Rename ""root"" which hides the field declared at line 209.","java:S1117|rename ""root"" which hides the field declared at line <n>.","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S1117","Rename ""size"" which hides the field declared at line 147.","java:S1117|rename ""size"" which hides the field declared at line <n>.","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S115","Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.","java:S115|rename this constant name to match the regular expression '^[a-z][a-z<n>-<n>]*(_[a-z<n>-<n>]+)*$'.","6","0","-6","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S2259","""NullPointerException"" will be thrown when invoking method ""printRightOnly()"".","java:S2259|""nullpointerexception"" will be thrown when invoking method ""printrightonly()"".","1","0","-1","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"SnapshotComparer","C0","C4","java:S3776","Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.","java:S3776|refactor this method to reduce its cognitive complexity from <n> to the <n> allowed.","2","0","-2","REMOVED","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c4\comparison-vs-c0"
"WatchManager","C0","C1","java:S1128","Remove this unnecessary import: same package classes are always implicitly imported.","java:S1128|remove this unnecessary import: same package classes are always implicitly imported.","0","1","1","NEW","C:\Users\casol\Desktop\zookeeper-metrics\watchmanager\c1\comparison-vs-c0"
"WatchManager","C0","C1","java:S3824","Replace this ""Map.get()"" and condition with a call to ""Map.computeIfAbsent()"".","java:S3824|replace this ""map.get()"" and condition with a call to ""map.computeifabsent()"".","2","2","0","OLD_UNCHANGED","C:\Users\casol\Desktop\zookeeper-metrics\watchmanager\c1\comparison-vs-c0"
